Cost Code,Cost Type,Description,Original Budget Amount,Budget Modifications,Revised Budget,Approved COs,Pending Cost Changes,Actual Cost,Committed Costs,Forecast at Completion,Projected Over/Under,% Complete
01-1000,General,General Conditions - Field Staff,2850000,185000,3035000,185000,120000,1520000,3035000,3280000,-245000,48
01-2000,General,Project Management & Supervision,1180000,0,1180000,0,65000,580000,1180000,1240000,-60000,45
01-3000,General,Temporary Facilities & Utilities,420000,35000,455000,35000,0,245000,455000,470000,-15000,50
01-4000,General,Insurance Bonds & Permits,680000,0,680000,0,0,680000,680000,680000,0,100
02-1000,Sitework,Selective Demolition,385000,42000,427000,42000,0,410000,427000,435000,-8000,92
03-1000,Concrete,CIP Concrete Foundations,2450000,280000,2730000,280000,95000,1580000,2730000,3150000,-420000,52
03-2000,Concrete,Concrete Flatwork & SOG,1680000,145000,1825000,145000,75000,1120000,1825000,2080000,-255000,48
03-3000,Concrete,Precast Concrete Panels,890000,0,890000,0,55000,425000,890000,980000,-90000,40
04-1000,Masonry,CMU & Brick Veneer,520000,0,520000,0,28000,195000,520000,560000,-40000,30
05-1000,Metals,Structural Steel Erection,3200000,320000,3520000,320000,180000,2180000,3520000,4050000,-530000,55
05-2000,Metals,Miscellaneous Metals & Railings,480000,45000,525000,45000,0,285000,525000,580000,-55000,48
06-1000,Wood,Rough & Finish Carpentry,310000,0,310000,0,15000,140000,310000,340000,-30000,38
07-1000,Thermal,Roofing & Waterproofing,780000,0,780000,0,0,125000,780000,810000,-30000,12
07-2000,Thermal,Insulation & Fireproofing,290000,0,290000,0,18000,95000,290000,320000,-30000,25
08-1000,Openings,Doors Frames & Hardware,640000,35000,675000,35000,0,210000,675000,710000,-35000,28
09-1000,Finishes,Drywall & Metal Framing,720000,0,720000,0,42000,85000,720000,780000,-60000,8
09-2000,Finishes,Painting & Coatings,380000,0,380000,0,0,15000,380000,400000,-20000,2
09-3000,Finishes,Flooring & Floor Finishes,510000,0,510000,0,0,0,510000,540000,-30000,0
09-4000,Finishes,Acoustical Ceilings,285000,0,285000,0,0,0,285000,300000,-15000,0
10-1000,Specialties,Specialties & Accessories,195000,0,195000,0,0,45000,195000,210000,-15000,18
14-1000,Conveying,Passenger Elevators (2),720000,0,720000,0,0,380000,720000,745000,-25000,48
21-1000,Fire Protection,Fire Suppression Systems,1250000,85000,1335000,85000,65000,780000,1335000,1520000,-185000,50
22-1000,Plumbing,Plumbing Systems,1580000,125000,1705000,125000,85000,1020000,1705000,1950000,-245000,52
23-1000,Mechanical,HVAC Systems,3850000,290000,4140000,290000,195000,2480000,4140000,4780000,-640000,48
23-2000,Mechanical,Building Automation Controls,580000,0,580000,0,45000,195000,580000,650000,-70000,28
26-1000,Electrical,Electrical Power Distribution,2100000,165000,2265000,165000,110000,1350000,2265000,2580000,-315000,50
26-2000,Electrical,Lighting & Branch Wiring,890000,0,890000,0,55000,320000,890000,960000,-70000,30
27-1000,Communications,Communications & Data,420000,0,420000,0,0,95000,420000,445000,-25000,18
28-1000,Electronic Safety,Fire Alarm & Security Systems,380000,28000,408000,28000,0,185000,408000,440000,-32000,40
31-1000,Earthwork,Earthwork & Grading,1250000,95000,1345000,95000,0,1280000,1345000,1370000,-25000,92
32-1000,Exterior,Site Concrete & Paving,480000,0,480000,0,0,85000,480000,510000,-30000,12
33-1000,Utilities,Underground Utilities,620000,65000,685000,65000,0,650000,685000,700000,-15000,92
01-5000,General,Contractor Fee,1850000,0,1850000,0,0,832500,1850000,1850000,0,45
01-6000,General,Contingency,750000,-750000,0,-750000,0,0,0,0,0,0
03-4000,Concrete,Concrete Testing & Inspections,165000,18000,183000,18000,0,110000,183000,205000,-22000,55
