Job Number,Cost Code,Cost Type,Description,Original Estimate,Revised Estimate,Committed Cost,Actual Cost,Projected Cost,Variance,Pct Complete
2024-1150,01-100,General,General Conditions - Supervision,1850000,1920000,1920000,1280000,2150000,-230000,55
2024-1150,01-200,General,Project Management Office,480000,480000,480000,345000,520000,-40000,60
2024-1150,01-300,General,Temporary Facilities & Protection,320000,345000,345000,265000,390000,-45000,65
2024-1150,01-400,General,Insurance Bonds Permits,395000,395000,395000,395000,395000,0,100
2024-1150,02-100,Sitework,Demolition & Abatement,210000,228000,228000,225000,232000,-4000,95
2024-1150,03-100,Concrete,Foundations & Grade Beams,1150000,1195000,1195000,1180000,1210000,-15000,95
2024-1150,03-200,Concrete,Elevated Slabs & SOG,780000,810000,810000,790000,825000,-15000,92
2024-1150,05-100,Metals,Structural Steel,1650000,1695000,1695000,1320000,1740000,-45000,72
2024-1150,05-200,Metals,Miscellaneous Metals,280000,280000,265000,195000,295000,-15000,58
2024-1150,06-100,Wood,Carpentry & Blocking,185000,185000,175000,148000,210000,-25000,65
2024-1150,07-100,Thermal,Roofing Systems,520000,520000,520000,185000,545000,-25000,30
2024-1150,07-200,Thermal,Insulation & Air Barriers,165000,165000,165000,52000,175000,-10000,25
2024-1150,08-100,Openings,Storefront & Curtain Wall,680000,680000,680000,425000,695000,-15000,55
2024-1150,09-100,Finishes,Drywall & Metal Stud Framing,1280000,1280000,1180000,920000,1480000,-200000,52
2024-1150,09-200,Finishes,Painting & Wall Coverings,420000,420000,380000,285000,495000,-75000,45
2024-1150,09-300,Finishes,Flooring - Tile Carpet LVT,580000,580000,545000,310000,640000,-60000,38
2024-1150,09-400,Finishes,Acoustical Ceilings,295000,295000,280000,175000,335000,-40000,42
2024-1150,10-100,Specialties,Toilet Accessories & Signage,125000,125000,118000,65000,135000,-10000,38
2024-1150,14-100,Conveying,Elevators (3 Cabs),580000,580000,580000,385000,595000,-15000,60
2024-1150,21-100,Fire Protection,Fire Sprinkler System,385000,400000,400000,280000,430000,-30000,60
2024-1150,22-100,Plumbing,Plumbing Systems,820000,855000,855000,620000,945000,-90000,58
2024-1150,23-100,Mechanical,HVAC - Ductwork & Equipment,2100000,2180000,2180000,1580000,2420000,-240000,55
2024-1150,23-200,Mechanical,Controls & BAS,340000,340000,340000,195000,380000,-40000,42
2024-1150,26-100,Electrical,Electrical Distribution,1450000,1495000,1495000,1050000,1620000,-125000,58
2024-1150,26-200,Electrical,Lighting Systems,620000,620000,585000,380000,670000,-50000,48
2024-1150,27-100,Communications,Low Voltage & Data,310000,310000,290000,155000,330000,-20000,38
2024-1150,28-100,Electronic Safety,Fire Alarm System,245000,260000,260000,165000,280000,-20000,55
2024-1150,31-100,Earthwork,Site Grading & Excavation,420000,445000,445000,440000,448000,-3000,98
2024-1150,32-100,Exterior,Paving Curb & Sidewalk,285000,285000,270000,48000,295000,-10000,12
2024-1150,33-100,Utilities,Site Utilities,350000,375000,375000,365000,378000,-3000,96
