Job,Cost Code,Cost Type,Description,Original Est Cost,Curr Est Cost,Actual Cost,Committed Cost,Projected Cost,Open Committed,Pct Complete,UM,Est Units,Actual Units,Est Hours,Actual Hours
65-001,01-100,General,General Conditions - Field Supervision,3200000,3450000,2950000,3450000,4250000,500000,58,LS,1,1,28000,22400
65-001,01-200,General,Project Management,1150000,1150000,880000,1150000,1380000,270000,55,LS,1,1,12000,7800
65-001,01-300,General,Temporary Facilities & Protection,680000,745000,620000,745000,885000,125000,60,LS,1,1,4000,3200
65-001,01-400,General,Insurance Bonds & Permits,850000,850000,850000,850000,850000,0,100,LS,1,1,0,0
65-001,01-500,General,Contractor Fee (5%),2850000,2850000,1425000,2850000,2850000,1425000,50,LS,1,1,0,0
65-001,02-100,Sitework,Selective Demolition,480000,510000,498000,510000,515000,12000,95,LS,1,1,2400,2350
65-001,03-100,Concrete,Foundations - Self Performed,4200000,4580000,3450000,4580000,5100000,1130000,68,CY,8500,6200,42000,38500
65-001,03-200,Concrete,Slab on Grade - Self Performed,3800000,4050000,2980000,4050000,4450000,1070000,62,SF,285000,210000,28000,24500
65-001,03-300,Concrete,Tilt-Up Wall Panels - Self Performed,2600000,2780000,1850000,2780000,3050000,930000,52,SF,95000,62000,22000,17800
65-001,04-100,Masonry,CMU Screen Walls,320000,320000,285000,310000,325000,25000,82,SF,4800,4200,2400,2200
65-001,05-100,Metals,Structural Steel - Subcontracted,5800000,5920000,4250000,5920000,5980000,1670000,68,TN,850,620,0,0
65-001,05-200,Metals,Misc Metals & Handrails - Sub,420000,435000,310000,435000,445000,125000,62,LS,1,1,0,0
65-001,06-100,Wood,Carpentry & Blocking,280000,280000,195000,265000,290000,70000,58,LS,1,1,3200,2400
65-001,07-100,Thermal,Roofing - TPO Membrane - Sub,1850000,1880000,1420000,1880000,1900000,460000,72,SQ,18500,14200,0,0
65-001,07-200,Thermal,Insulation & Sealants,380000,380000,245000,365000,390000,120000,55,LS,1,1,2800,1900
65-001,08-100,Openings,Overhead Doors & Dock Equipment,1250000,1275000,850000,1275000,1290000,425000,60,EA,48,32,1200,850
65-001,08-200,Openings,Hollow Metal Doors & Hardware,420000,420000,280000,400000,430000,120000,58,EA,185,125,1800,1250
65-001,09-100,Finishes,Office Drywall & Framing - Sub,580000,580000,385000,560000,595000,175000,55,SF,42000,28000,0,0
65-001,09-200,Finishes,Office Painting & Finishes - Sub,245000,245000,120000,235000,250000,115000,35,SF,42000,21000,0,0
65-001,09-300,Finishes,Office Flooring - Sub,310000,310000,155000,295000,318000,140000,38,SF,18000,9200,0,0
65-001,10-100,Specialties,Toilet Accessories & Signage,95000,95000,48000,90000,98000,42000,35,LS,1,1,400,210
65-001,14-100,Conveying,Dock Levelers & Lifts,680000,695000,480000,695000,705000,215000,62,EA,48,34,1600,1150
65-001,21-100,Fire Protection,Fire Sprinkler System - Sub,1650000,1680000,1150000,1680000,1700000,530000,65,SF,285000,200000,0,0
65-001,22-100,Plumbing,Plumbing Systems - Sub,920000,945000,620000,945000,960000,325000,58,LS,1,1,0,0
65-001,23-100,Mechanical,HVAC - RTUs & Ductwork - Sub,2400000,2450000,1680000,2450000,2490000,770000,62,LS,1,1,0,0
65-001,23-200,Mechanical,Warehouse Ventilation - Sub,480000,480000,320000,465000,490000,145000,58,LS,1,1,0,0
65-001,26-100,Electrical,Electrical Distribution - Sub,2800000,2860000,1950000,2860000,2900000,910000,60,LS,1,1,0,0
65-001,26-200,Electrical,Lighting & Controls - Sub,1200000,1220000,780000,1220000,1240000,440000,55,LS,1,1,0,0
65-001,26-300,Electrical,EV Charging Infrastructure - Sub,350000,350000,175000,350000,355000,175000,42,EA,24,12,0,0
65-001,27-100,Communications,Data & Telecom - Sub,420000,420000,185000,410000,425000,225000,35,LS,1,1,0,0
65-001,28-100,Electronic Safety,Fire Alarm & Security - Sub,380000,395000,245000,395000,400000,150000,52,LS,1,1,0,0
65-001,31-100,Earthwork,Mass Grading - Self Performed,2800000,3050000,2650000,3050000,3280000,400000,88,CY,185000,158000,18000,17200
65-001,31-200,Earthwork,Import Fill & Compaction - SP,1200000,1350000,1180000,1350000,1420000,170000,85,CY,45000,39000,8000,7400
65-001,32-100,Exterior,Paving & Striping - Sub,1450000,1480000,620000,1480000,1500000,860000,35,SF,320000,135000,0,0
65-001,32-200,Exterior,Fencing & Gates - Sub,280000,280000,185000,275000,285000,90000,60,LF,4800,3200,0,0
65-001,33-100,Utilities,Storm Drainage - Self Performed,850000,920000,780000,920000,980000,140000,80,LF,4200,3500,6000,5400
65-001,33-200,Utilities,Water & Sanitary Sewer - Sub,620000,640000,485000,640000,650000,155000,72,LF,3800,2900,0,0
65-001,33-300,Utilities,Dry Utilities - Sub,280000,280000,195000,275000,285000,80000,65,LS,1,1,0,0
65-001,31-300,Earthwork,Retaining Walls - Self Performed,680000,750000,580000,750000,810000,170000,72,LF,2400,1850,5200,4600
65-001,03-400,Concrete,Loading Dock Aprons - Self Perf,520000,555000,420000,555000,590000,135000,70,SF,24000,18500,4800,4100
