Cost Code,Description,Cost Type,Original Budget,Approved Changes,Revised Budget,Committed Cost,Actual Cost,Pending Changes,Forecast at Completion,% Complete
01-100,General Conditions,General,1450000,85000,1535000,1535000,1180000,45000,1620000,68
01-200,Project Management,General,380000,0,380000,380000,310000,0,420000,72
02-100,Demolition,Sitework,275000,32000,307000,307000,295000,0,310000,95
03-100,Concrete Foundations,Concrete,1850000,125000,1975000,1975000,1820000,65000,2150000,82
03-200,Concrete Flatwork,Concrete,920000,45000,965000,965000,780000,35000,1020000,70
04-100,Masonry,Masonry,485000,0,485000,450000,380000,28000,510000,65
05-100,Structural Steel,Metals,2200000,180000,2380000,2380000,2100000,0,2450000,85
05-200,Misc Metals & Railings,Metals,340000,22000,362000,362000,260000,15000,385000,60
06-100,Rough Carpentry,Wood,420000,0,420000,395000,350000,18000,445000,72
07-100,Roofing & Waterproofing,Thermal,680000,0,680000,680000,210000,42000,720000,25
07-200,Insulation,Thermal,195000,12000,207000,207000,105000,0,215000,40
08-100,Doors Frames & Hardware,Openings,520000,35000,555000,555000,290000,0,570000,45
09-100,Drywall & Framing,Finishes,890000,0,890000,830000,480000,55000,960000,42
09-200,Painting & Wall Covering,Finishes,310000,0,310000,285000,95000,0,325000,20
09-300,Flooring,Finishes,445000,18000,463000,463000,185000,12000,490000,30
10-100,Specialties & Accessories,Specialties,165000,0,165000,150000,65000,0,175000,30
14-100,Elevator,Conveying,485000,0,485000,485000,290000,0,500000,55
21-100,Fire Suppression,Fire Protection,390000,28000,418000,418000,310000,0,430000,68
22-100,Plumbing,Plumbing,680000,45000,725000,725000,520000,32000,775000,62
23-100,HVAC,Mechanical,1650000,95000,1745000,1745000,1280000,85000,1890000,60
26-100,Electrical Power,Electrical,1380000,68000,1448000,1448000,980000,55000,1550000,55
26-200,Lighting,Electrical,420000,0,420000,395000,165000,28000,450000,30
27-100,Communications & Data,Communications,285000,0,285000,260000,110000,0,295000,28
28-100,Fire Alarm & Security,Electronic Safety,210000,15000,225000,225000,135000,0,235000,50
31-100,Earthwork & Grading,Earthwork,580000,72000,652000,652000,640000,0,660000,95
32-100,Paving & Curbing,Exterior,340000,0,340000,320000,85000,0,355000,18
33-100,Underground Utilities,Utilities,420000,55000,475000,475000,450000,0,480000,92
01-300,Insurance & Bonds,General,285000,0,285000,285000,285000,0,285000,100
01-400,Permits & Fees,General,95000,8000,103000,103000,103000,0,103000,100
09-400,Ceiling Systems,Finishes,380000,0,380000,350000,125000,22000,405000,25
